RA Dec redshift phot_index luminosity nh_values
82.911979544136 -11.634771344696 0.2759 1.98235 2.728831145028558e+46 20.89458
166.94014209826 52.321821306571 0.47087 2.10613 3.961884942285457e+43 20.76666
158.03231155717 50.750683572135 1.2256 1.80345 4.974415789345431e+44 21.07248
157.92879691671 50.795922885454 1.9753 1.50947 9.47030870799163e+44 21.19609
158.17009907008 50.936852797445 0.5758 2.38012 2.552892039411607e+43 21.774
157.56199279037 50.750201717889 1.6255 3.0155 9.187247322631426e+44 21.24981
10.822209526886 0.0915020339580166 2.3752 2.73435 2.0838499400436945e+45 20.90755
158.33112752728 57.969402154034 1.3256 2.55677 2.895327842179667e+45 20.55555
158.40908135024 57.966899354927 0.73091 1.91654 2.9696346545403635e+44 21.22697
259.38737049157 59.796545341292 0.126 1.96476 5.5014094252585044e+42 21.06996
259.30444223141 59.641052282207 0.0954 1.90818 8.168107859204759e+42 20.37223
259.44799752553 59.54943894637 1.29911 2.2549 5.103568387375062e+44 20.4277
352.43171184796 14.940475704893 0.66848 2.03471 1.8218764139452023e+44 20.58652
352.4011083547 15.011126169362 0.53436 1.82352 1.1965452577556387e+44 21.03101
352.04394838415 15.003677276959 0.6258 1.44109 1.3317407368561137e+44 21.33303
352.28714086766 14.705102260262 0.4758 2.37312 8.391595889965027e+45 20.87853
352.34375425235 14.855596344261 2.0254 1.50787 2.949476277202243e+45 20.915
352.18238191164 14.893249207067 0.6258 1.81296 8.353907932811374e+46 20.60388
352.26558200576 14.941574668882 0.6758 1.43103 4.767471136606215e+46 22.14567
352.0680158085 14.809636597996 0.6258 1.74995 2.5451869315916397e+44 20.92703
352.12660961968 14.906762184592 0.4259 2.01015 5.044800468070568e+42 20.96945
225.21851230352 1.6733034319167 0.0761 2.33326 7.938207510524312e+41 21.81438
248.22286525361 56.988997236601 1.2257 1.94985 2.215540897638137e+44 20.50526
247.48315679113 24.417566796469 0.7258 2.22276 5.396918662720087e+42 20.68434
241.19216644428 43.376279563566 0.84318 1.94383 2.3656812990336775e+44 20.86542
241.14090905682 43.309168328909 1.9255 2.11973 2.1790662482544285e+45 20.3497
196.07000062089 -24.204712835912 0.50524 2.83586 7.106623882542579e+43 21.28619
346.42329845749 12.388715617458 0.7258 1.84936 1.5375380521828562e+44 20.26277
346.27917387697 12.328093094796 0.4259 1.72822 7.039535342794099e+46 20.49799
204.47112795337 -9.6775388852487 0.04702 1.51375 5.432427123996858e+44 20.46538
204.46500197701 -9.6514958483208 0.02609 1.04139 1.5896202524094766e+43 20.46992
44.509529885529 5.870498606391 0.5758 1.83365 1.1331631658792566e+46 20.61155
44.526002246493 5.8908202613034 0.40917 1.49702 2.6164636443874716e+43 22.3847
44.291795071386 6.056241437436 2.0255 2.13487 2.6503753112282054e+45 21.48531
44.542846866555 5.9966878092041 0.95743 2.43038 4.766266038768336e+44 22.12896
